,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,G.1,GS.1,MIN.1,FGM.1,FGA.1,3FGM.1,3FGA.1,FTM.1,FTA.1,OFF.1,DEF.1,REB.1,AST.1,STL.1,BLK.1,TO.1,PF.1,PTS.1
1,NBA,Alaa,Abdelnaby,F-C,Regular Season,(1990-91),(1994-95),256.0,53,3200,620.0,1236.0,0,3,225.0,321,283,563,846,85,71,69,247,484,1465.0,,---,---,12.5,2.421875,4.828125,0,0.01171875,0.87890625,1.25390625,1.10546875,2.19921875,3.3046875,0.33203125,0.27734375,0.26953125,0.96484375,1.890625,5.72265625
2,NBA,Zaid,Abdul-Aziz,C-F,Regular Season,(1968-69),(1977-78),505.0,,11023,1769.0,4138.0,---,---,1019.0,1400,503,1124,4065,601,131,205,14,1120,4557.0,,---,---,21.827722772277227,3.502970297029703,8.194059405940594,---,---,2.017821782178218,2.772277227722772,0.996039603960396,2.225742574257426,8.049504950495049,1.19009900990099,0.2594059405940594,0.40594059405940597,0.027722772277227723,2.217821782178218,9.023762376237624
3,NBA,Kareem,Abdul-Jabbar,C,Regular Season,(1969-70),(1988-89),1560.0,625,57446,15837.0,28307.0,1,18,6712.0,9304,2975,9394,17440,5660,1160,3189,2527,4657,38387.0,,---,---,36.82435897435897,10.151923076923078,18.14551282051282,0.000641025641025641,0.011538461538461539,4.302564102564102,5.964102564102564,1.9070512820512822,6.021794871794872,11.179487179487179,3.628205128205128,0.7435897435897436,2.044230769230769,1.619871794871795,2.9852564102564103,24.60705128205128
4,NBA,Mahdi,Abdul-Rahman,G,Regular Season,(1964-65),(1973-74),724.0,,19202,3597.0,8162.0,---,---,1893.0,2502,18,39,2146,3555,26,6,---,2027,9087.0,,---,---,26.522099447513813,4.968232044198895,11.273480662983426,---,---,2.6146408839779007,3.455801104972376,0.024861878453038673,0.05386740331491713,2.9640883977900554,4.9102209944751385,0.03591160220994475,0.008287292817679558,---,2.7997237569060776,12.55110497237569
5,NBA,Mahmoud,Abdul-Rauf,G,Regular Season,(1990-91),(2000-01),586.0,336,15628,3514.0,7943.0,474,1339,1051.0,1161,219,868,1087,2079,487,46,963,1106,8553.0,,---,---,26.668941979522184,5.996587030716723,13.554607508532424,0.8088737201365188,2.2849829351535837,1.7935153583617747,1.9812286689419796,0.37372013651877134,1.4812286689419796,1.8549488054607508,3.54778156996587,0.8310580204778157,0.07849829351535836,1.6433447098976108,1.8873720136518772,14.595563139931741
6,NBA,Tariq,Abdul-Wahad,F,Regular Season,(1997-98),(2002-03),236.0,145,4807,720.0,1726.0,18,76,372.0,529,286,490,776,266,184,83,309,485,1830.0,,---,---,20.36864406779661,3.0508474576271185,7.313559322033898,0.07627118644067797,0.3220338983050847,1.576271186440678,2.2415254237288136,1.2118644067796611,2.0762711864406778,3.288135593220339,1.1271186440677967,0.7796610169491526,0.3516949152542373,1.3093220338983051,2.055084745762712,7.754237288135593
7,NBA,Shareef,Abdur-Rahim,F,Regular Season,(1996-97),(2007-08),830.0,704,28882,5434.0,11515.0,154,519,4006.0,4943,1869,4370,6239,2109,820,638,2136,2324,15028.0,,---,---,34.797590361445785,6.546987951807229,13.873493975903614,0.1855421686746988,0.6253012048192771,4.8265060240963855,5.955421686746988,2.2518072289156628,5.265060240963855,7.516867469879518,2.540963855421687,0.9879518072289156,0.7686746987951807,2.5734939759036144,2.8,18.106024096385543
8,NBA,Tom,Abernethy,F,Regular Season,(1976-77),(1980-81),319.0,,5434,724.0,1472.0,0,2,331.0,443,374,637,1011,384,185,60,129,525,1779.0,,---,---,17.03448275862069,2.269592476489028,4.614420062695925,0,0.006269592476489028,1.0376175548589341,1.3887147335423198,1.1724137931034482,1.9968652037617556,3.169278996865204,1.2037617554858935,0.5799373040752351,0.18808777429467086,0.4043887147335423,1.64576802507837,5.576802507836991
9,NBA,Forest,Able,G,Regular Season,(1956-57),(1956-57),1.0,---,1,0.0,2.0,---,---,0.0,0,---,---,1,1,---,---,---,1,0.0,,---,---,1,0.0,2.0,---,---,0.0,0,---,---,1,1,---,---,---,1,0.0
10,NBA,John,Abramovic,F,Regular Season,(1946-47),(1947-48),56.0,---,---,203.0,855.0,---,---,127.0,185,---,---,---,37,---,---,---,171,533.0,,---,---,---,3.625,15.267857142857142,---,---,2.267857142857143,3.3035714285714284,---,---,---,0.6607142857142857,---,---,---,3.0535714285714284,9.517857142857142
11,NBL,John,Abramovic,F,Regular Season,(1947-48),(1947-48),35.0,---,---,72.0,,---,---,42.0,,---,---,---,---,---,---,---,,186.0,,---,---,---,2.057142857142857,0.0,---,---,1.2,,---,---,---,---,---,---,---,0,5.314285714285714
12,NBA,Alex,Abrines,G,Regular Season,(2016-17),(2018-19),174.0,16,2777,305.0,789.0,219,595,95.0,108,49,199,248,88,92,22,72,291,924.0,,---,---,15.959770114942529,1.7528735632183907,4.5344827586206895,1.2586206896551724,3.4195402298850577,0.5459770114942529,0.6206896551724138,0.28160919540229884,1.1436781609195403,1.4252873563218391,0.5057471264367817,0.5287356321839081,0.12643678160919541,0.41379310344827586,1.6724137931034482,5.310344827586207
13,NBA,Precious,Achiuwa,F,Regular Season,(2020-21),(2022-23),189.0,44,3602,585.0,1235.0,85,265,221.0,365,319,690,1009,161,88,99,186,344,1476.0,,---,---,19.058201058201057,3.0952380952380953,6.534391534391534,0.4497354497354497,1.402116402116402,1.1693121693121693,1.9312169312169312,1.687830687830688,3.6507936507936507,5.338624338624339,0.8518518518518519,0.4656084656084656,0.5238095238095238,0.9841269841269841,1.82010582010582,7.809523809523809
14,NBA,Alex,Acker,G,Regular Season,(2005-06),(2008-09),30.0,0,234,34.0,92.0,8,25,5.0,10,9,20,29,16,6,4,11,13,81.0,,---,---,7.8,1.1333333333333333,3.066666666666667,0.26666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3,0.6666666666666666,0.9666666666666667,0.5333333333333333,0.2,0.13333333333333333,0.36666666666666664,0.43333333333333335,2.7
15,NBA,Don,Ackerman,G,Regular Season,(1953-54),(1953-54),28.0,---,220,14.0,63.0,---,---,15.0,28,---,---,15,23,---,---,---,43,43.0,,---,---,7.857142857142857,0.5,2.25,---,---,0.5357142857142857,1,---,---,0.5357142857142857,0.8214285714285714,---,---,---,1.5357142857142858,1.5357142857142858
16,NBA,Mark,Acres,F-C,Regular Season,(1987-88),(1992-93),375.0,68,5982,514.0,1016.0,7,13,308.0,463,581,944,1525,180,137,104,235,932,1343.0,,---,---,15.952,1.3706666666666667,2.7093333333333334,0.018666666666666668,0.034666666666666665,0.8213333333333334,1.2346666666666666,1.5493333333333332,2.517333333333333,4.066666666666666,0.48,0.36533333333333334,0.2773333333333333,0.6266666666666667,2.485333333333333,3.5813333333333333
