,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,GPG,GSPG,MINPG,FGMPG,FGAPG,3FGMPG,3FGAPG,FTMPG,FTAPG,OFFPG,DEFPG,REBPG,ASTPG,STLPG,BLKPG,TOPG,PFPG,PTSPG,G_college,GS_college,MINPG_college,FGMPG_college,FGAPG_college,3FGMPG_college,3FGAPG_college,FTMPG_college,FTAPG_college,OFFPG_college,DEFPG_college,REBPG_college,ASTPG_college,STLPG_college,BLKPG_college,TOPG_college,PFPG_college,PTSPG_college,yrs_college,first_yr_college,last_yr_college,last_college,notes_college,CC_college,FR_college,DNP_college,FGM36_college,FGA36_college,3FGM36_college,3FGA36_college,FTM36_college,FTA36_college,OFF36_college,DEF36_college,REB36_college,AST36_college,STL36_college,BLK36_college,TO36_college,PF36_college,PTS36_college,yrs_since_college,rand,train_ind
1,NBA,Zaid,Abdul-Aziz,C-F,Regular Season,1968,(1977-78),505.0,-99,11023,1769.0,4138.0,0,0,1019.0,1400,503,1124,4065,601,131,205,14,1120,4557.0,-99.0,0,0,21.827722772277227,3.502970297029703,8.194059405940594,0,0,2.017821782178218,2.772277227722772,0.996039603960396,2.225742574257426,8.049504950495049,1.19009900990099,0.2594059405940594,0.40594059405940597,0.027722772277227723,2.217821782178218,9.023762376237624,75,-99,-99,7.8,16.76,0,0,6.693333333333333,10.373333333333333,-99,-99,13.666666666666666,-99,-99,-99,-99,2.8266666666666667,22.293333333333333,4,1965,1968,Iowa State University,nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1968,0.3838858473964196,train
3,NBA,Mahdi,Abdul-Rahman,G,Regular Season,1964,(1973-74),724.0,-99,19202,3597.0,8162.0,0,0,1893.0,2502,18,39,2146,3555,26,6,0,2027,9087.0,-99.0,0,0,26.522099447513813,4.968232044198895,11.273480662983426,0,0,2.6146408839779007,3.455801104972376,0.024861878453038673,0.05386740331491713,2.9640883977900554,4.9102209944751385,0.03591160220994475,0.008287292817679558,0,2.7997237569060776,12.55110497237569,87,-99,-99,5.839080459770115,13.517241379310345,0,0,4.425287356321839,6.264367816091954,-99,-99,5.459770114942529,-99,-99,-99,-99,2.7011494252873565,16.103448275862068,4,1961,1964,"University of California, Los Angeles",nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1964,0.07480410867024323,train
5,NBA,Tariq,Abdul-Wahad,F,Regular Season,1997,(2002-03),236.0,145,4807,720.0,1726.0,18,76,372.0,529,286,490,776,266,184,83,309,485,1830.0,-99.0,0,0,20.36864406779661,3.0508474576271185,7.313559322033898,0.07627118644067797,0.3220338983050847,1.576271186440678,2.2415254237288136,1.2118644067796611,2.0762711864406778,3.288135593220339,1.1271186440677967,0.7796610169491526,0.3516949152542373,1.3093220338983051,2.055084745762712,7.754237288135593,87,-99,23.413793103448278,4.942528735632184,10.35632183908046,0.5632183908045977,1.7471264367816093,3.160919540229885,4.35632183908046,-99,-99,5.413793103448276,1.2528735632183907,0.9540229885057471,0.5517241379310345,2.1954022988505746,2.6551724137931036,13.60919540229885,4,1994,1997,San Jose State University,nan,0,0,0,7.599410898379969,15.923416789396171,0.8659793814432989,2.686303387334315,4.860088365243004,6.698085419734904,-99.0,-99.0,8.3240058910162,1.9263622974963177,1.4668630338733428,0.8483063328424153,3.375552282768777,4.082474226804123,20.92488954344624,1997,0.5268285912395788,train
6,NBA,Shareef,Abdur-Rahim,F,Regular Season,1996,(2007-08),830.0,704,28882,5434.0,11515.0,154,519,4006.0,4943,1869,4370,6239,2109,820,638,2136,2324,15028.0,-99.0,0,0,34.797590361445785,6.546987951807229,13.873493975903614,0.1855421686746988,0.6253012048192771,4.8265060240963855,5.955421686746988,2.2518072289156628,5.265060240963855,7.516867469879518,2.540963855421687,0.9879518072289156,0.7686746987951807,2.5734939759036144,2.8,18.106024096385543,28,-99,34.714285714285715,7.357142857142857,14.214285714285714,0.2857142857142857,0.75,6.071428571428571,8.892857142857142,-99,-99,8.428571428571429,1.0357142857142858,1.8571428571428572,1.25,3.107142857142857,2.0714285714285716,21.071428571428573,1,1996,1996,"University of California, Berkeley",nan,0,0,0,7.629629629629629,14.74074074074074,0.2962962962962963,0.7777777777777777,6.296296296296296,9.222222222222221,-99.0,-99.0,8.74074074074074,1.0740740740740742,1.9259259259259258,1.296296296296296,3.222222222222222,2.1481481481481484,21.851851851851855,1996,0.4431224776666808,train
7,NBA,Tom,Abernethy,F,Regular Season,1976,(1980-81),319.0,-99,5434,724.0,1472.0,0,2,331.0,443,374,637,1011,384,185,60,129,525,1779.0,-99.0,0,0,17.03448275862069,2.269592476489028,4.614420062695925,0,0.006269592476489028,1.0376175548589341,1.3887147335423198,1.1724137931034482,1.9968652037617556,3.169278996865204,1.2037617554858935,0.5799373040752351,0.18808777429467086,0.4043887147335423,1.64576802507837,5.576802507836991,110,-99,-99,2.4,4.5,0,0,1.1454545454545455,1.6636363636363636,-99,-99,3.7363636363636363,1.0545454545454545,-99,-99,-99,1.3363636363636364,5.945454545454545,4,1973,1976,Indiana University,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1976,0.2849580690428726,train
10,NBA,Precious,Achiuwa,F,Regular Season,2020,(2022-23),189.0,44,3602,585.0,1235.0,85,265,221.0,365,319,690,1009,161,88,99,186,344,1476.0,-99.0,0,0,19.058201058201057,3.0952380952380953,6.534391534391534,0.4497354497354497,1.402116402116402,1.1693121693121693,1.9312169312169312,1.687830687830688,3.6507936507936507,5.338624338624339,0.8518518518518519,0.4656084656084656,0.5238095238095238,0.9841269841269841,1.82010582010582,7.809523809523809,31,31,30.419354838709676,5.870967741935484,11.903225806451612,0.41935483870967744,1.2903225806451613,3.6129032258064515,6.032258064516129,3,7.774193548387097,10.774193548387096,0.967741935483871,1.096774193548387,1.8709677419354838,2.806451612903226,2.3548387096774195,15.774193548387096,1,2020,2020,University of Memphis,nan,0,0,0,6.9480381760339345,14.08695652173913,0.49628844114528103,1.5270413573700956,4.275715800636267,7.138918345705196,3.5503711558854723,9.200424178154826,12.750795334040298,1.1452810180275717,1.297985153764581,2.2142099681866383,3.321314952279958,2.7868504772004243,18.668080593849417,2020,0.29890304021600156,train
11,NBA,Alex,Acker,G,Regular Season,2005,(2008-09),30.0,0,234,34.0,92.0,8,25,5.0,10,9,20,29,16,6,4,11,13,81.0,-99.0,0,0,7.8,1.1333333333333333,3.066666666666667,0.26666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3,0.6666666666666666,0.9666666666666667,0.5333333333333333,0.2,0.13333333333333333,0.36666666666666664,0.43333333333333335,2.7,88,80,34.35227272727273,5.1022727272727275,11.170454545454545,1.3636363636363635,3.3181818181818183,2.897727272727273,3.522727272727273,1.5454545454545454,4.079545454545454,5.625,2.8295454545454546,1.5113636363636365,0.4318181818181818,2.6136363636363638,1.8977272727272727,14.465909090909092,3,2003,2005,Pepperdine University,nan,0,0,0,5.347006285147205,11.706252067482632,1.4290439960304333,3.4773403903407214,3.0367184915646708,3.6916969897452865,1.619583195501158,4.27522328812438,5.894806483625537,2.965266291763149,1.5838570956003972,0.4525305987429706,2.739000992391664,1.9887528944756865,15.159775057889515,2005,0.09666787894205675,train
12,NBA,Don,Ackerman,G,Regular Season,1951,(1953-54),28.0,0,220,14.0,63.0,0,0,15.0,28,0,0,15,23,0,0,0,43,43.0,-99.0,0,0,7.857142857142857,0.5,2.25,0,0,0.5357142857142857,1.0,0,0,0.5357142857142857,0.8214285714285714,0,0,0,1.5357142857142858,1.5357142857142858,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1950,1951,Long Island University,nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1951,0.13593355037315458,train
13,NBA,Mark,Acres,F-C,Regular Season,1985,(1992-93),375.0,68,5982,514.0,1016.0,7,13,308.0,463,581,944,1525,180,137,104,235,932,1343.0,-99.0,0,0,15.952,1.3706666666666667,2.7093333333333334,0.018666666666666668,0.034666666666666665,0.8213333333333334,1.2346666666666666,1.5493333333333332,2.517333333333333,4.066666666666666,0.48,0.36533333333333334,0.2773333333333333,0.6266666666666667,2.485333333333333,3.5813333333333333,110,-99,33.345454545454544,7.263636363636364,12.872727272727273,0,0,4,5.745454545454545,-99,-99,9.554545454545455,1.990909090909091,1.3636363636363635,1.490909090909091,2.5727272727272728,3.590909090909091,18.527272727272727,4,1982,1985,Oral Roberts University,nan,0,0,0,7.841875681570338,13.897491821155944,0.0,0.0,4.318429661941113,6.202835332606325,-99.0,-99.0,10.315158124318431,2.149400218102508,1.4721919302071975,1.6095965103598693,2.7775354416575793,3.8767720828789534,20.00218102508179,1985,0.06873820419415833,train
16,NBA,Alvan,Adams,C-F,Regular Season,1975,(1987-88),988.0,342,27203,5709.0,11464.0,2,15,2490.0,3160,2015,4922,6937,4012,1289,808,2194,3214,13910.0,-99.0,0,0,27.5334008097166,5.77834008097166,11.603238866396762,0.0020242914979757085,0.015182186234817813,2.520242914979757,3.1983805668016196,2.039473684210526,4.981781376518219,7.021255060728745,4.060728744939271,1.3046558704453441,0.8178137651821862,2.220647773279352,3.2530364372469633,14.078947368421053,73,-99,-99,9.726027397260275,18.041095890410958,0,0,3.9315068493150687,5.602739726027397,-99,-99,12.849315068493151,-99,-99,-99,-99,3.2465753424657535,23.383561643835616,3,1973,1975,University of Oklahoma,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1975,0.04329580580438597,train
